reduced_lever	lever	indicator	Wellbeing-obj	link
Taxation	Taxation	Phase out tax advantages for home ownership	Affordability	1
Taxation	Taxation	Shift housing taxes from transation towards annual levies	Affordability	
Taxation	Taxation	Tax motor fuels	Affordability	0
Taxation	Taxation	Tax property with split rates (higher rate on land than buildings)	Affordability	1
Spending	Spending	Invest to build green social housing with portable eligibility	Affordability	1
Spending	Spending	Subsidise the retrofitting of the existing housing stock	Affordability	1
Spending	Spending	More spending on housing allowances	Affordability	0
Regulation	Financial policy	Tighten loan-to-value caps	Affordability	0
Regulation	Financial policy	Increase capital requirements for mortages	Affordability	0
Regulation	Rent regulation	Relax rent-control	Affordability	0
Regulation	Rent regulation	Relax landlord-tenant regulation	Affordability	0
Regulation	Building regulation	Require certain energy performance through building codes	Affordability	0
Regulation	Building regulation	Benchmark the energy performance of buildings	Affordability	
Urban planning	Land use	Regularly re-evaluate geographic boundaries on urban development	Affordability	1
Urban planning	Land use	Relax building height regulations	Affordability	1
Urban planning	Land use	Allow the owners of development rights in environmentally valuable areas to transfer them	Affordability	1
Urban planning	Land use	Acquire land to prevent its development	Affordability	0
Urban planning	Land use	Reform land-use governance to give more authority to the metroppolitan rather than lower levels and avoid overlaps	Affordability	1
Urban planning	Environment urban policy	Restrict vehicle access to city centres	Affordability	0
Urban planning	Environment urban policy	Price urban roads and/or car parks	Affordability	0
Urban planning	Environment urban policy	Develop public transport	Affordability	
Urban planning	Environment urban policy	Develop alternative fuel infrastructure	Affordability	
Taxation	Taxation	Phase out tax advantages for home ownership	Mobility	
Taxation	Taxation	Shift housing taxes from transation towards annual levies	Mobility	1
Taxation	Taxation	Tax motor fuels	Mobility	
Taxation	Taxation	Tax property with split rates (higher rate on land than buildings)	Mobility	
Spending	Spending	Invest to build green social housing with portable eligibility	Mobility	1
Spending	Spending	Subsidise the retrofitting of the existing housing stock	Mobility	
Spending	Spending	More spending on housing allowances	Mobility	1
Regulation	Financial policy	Tighten loan-to-value caps	Mobility	
Regulation	Financial policy	Increase capital requirements for mortages	Mobility	
Regulation	Rent regulation	Relax rent-control	Mobility	1
